scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,246.2093,243.7472,246.2093,13-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,243.7472,1/13/2014,246.2093,246.2093,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,245.824,243.3658,245.824,14-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,243.3658,1/14/2014,245.824,245.824,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,248.0941,245.6132,248.0941,15-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,245.6132,1/15/2014,248.0941,248.0941,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,247.697,245.22,247.697,16-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,245.22,1/16/2014,247.697,247.697,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,246.1322,243.6709,246.1322,17-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,243.6709,1/17/2014,246.1322,246.1322,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,246.6786,244.2118,246.6786,20-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,244.2118,1/20/2014,246.6786,246.6786,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,246.9421,244.4727,246.9421,21-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,244.4727,1/21/2014,246.9421,246.9421,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,248.1085,245.6274,248.1085,22-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,245.6274,1/22/2014,248.1085,248.1085,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,248.2136,245.7315,248.2136,23-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,245.7315,1/23/2014,248.2136,248.2136,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,245.5512,243.0957,245.5512,24-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,243.0957,1/24/2014,245.5512,245.5512,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.2562,237.8536,240.2562,27-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.8536,1/27/2014,240.2562,240.2562,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.6244,237.2282,239.6244,28-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.2282,1/28/2014,239.6244,239.6244,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.4335,237.0392,239.4335,29-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.0392,1/29/2014,239.4335,239.4335,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,237.596,235.22,237.596,30-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.22,1/30/2014,237.596,237.596,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.3513,236.9578,239.3513,31-Jan-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.9578,1/31/2014,239.3513,239.3513,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,236.5189,234.1537,236.5189,3-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,234.1537,2/3/2014,236.5189,236.5189,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,236.9345,234.5652,236.9345,4-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,234.5652,2/4/2014,236.9345,236.9345,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,237.8157,235.4375,237.8157,5-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.4375,2/5/2014,237.8157,237.8157,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,237.8759,235.4971,237.8759,6-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.4971,2/6/2014,237.8759,237.8759,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.4221,237.0279,239.4221,7-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.0279,2/7/2014,239.4221,239.4221,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.2375,236.8451,239.2375,10-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.8451,2/10/2014,239.2375,239.2375,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.0463,236.6558,239.0463,11-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.6558,2/11/2014,239.0463,239.0463,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.0902,237.6893,240.0902,12-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.6893,2/12/2014,240.0902,240.0902,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,235.7747,233.417,235.7747,13-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,233.417,2/13/2014,235.7747,235.7747,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,237.3317,234.9584,237.3317,14-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,234.9584,2/14/2014,237.3317,237.3317,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,238.4064,236.0223,238.4064,17-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.0223,2/17/2014,238.4064,238.4064,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.2248,237.8226,240.2248,18-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.8226,2/18/2014,240.2248,240.2248,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,241.1237,238.7125,241.1237,19-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.7125,2/19/2014,241.1237,241.1237,,,,,,,,,,
