scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.669,18.482,18.669,10-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.482,2014-07-10,18.669,18.669
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.356,18.172,18.356,11-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.1720,2014-07-11,18.356,18.356
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.374,18.19,18.374,14-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.19,2014-07-14,18.374,18.374
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.58,18.394,18.58,15-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.394,2014-07-15,18.58,18.58
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.783,18.595,18.783,16-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.595,2014-07-16,18.783,18.783
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.939,18.75,18.939,17-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.75,2014-07-17,18.939,18.939
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.943,18.754,18.943,18-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.754,2014-07-18,18.943,18.943
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.029,18.839,19.029,21-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.839,2014-07-21,19.029,19.029
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.088,18.897,19.088,22-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.8970,2014-07-22,19.088,19.088
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.067,18.876,19.067,23-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.876,2014-07-23,19.067,19.067
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.07,18.879,19.07,24-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.8790,2014-07-24,19.07,19.07
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.947,18.758,18.947,25-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.758,2014-07-25,18.947,18.947
