scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,Return,Variance,SD,NIFTY 50 Return,Var N50,SD  Nifty
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.2867,12.2867,12.2867,20-Feb-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.2867,2/20/2015,12.2867,12.2867,-0.01%,6.55837E-12,2.56093E-06,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.2578,12.2578,12.2578,23-Feb-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.2578,2/23/2015,12.2578,12.2578,-0.24%,2.14108E-09,4.62718E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.254,12.254,12.254,24-Feb-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.254,2/24/2015,12.254,12.254,-0.03%,3.72064E-11,6.09971E-06,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.2617,12.2617,12.2617,25-Feb-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.2617,2/25/2015,12.2617,12.2617,0.06%,1.52922E-10,1.23662E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.2082,12.2082,12.2082,26-Feb-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.2082,2/26/2015,12.2082,12.2082,-0.44%,7.37595E-09,8.58834E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.2841,12.2841,12.2841,27-Feb-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.2841,2/27/2015,12.2841,12.2841,0.62%,1.49817E-08,0.0001224,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3615,12.3615,12.3615,2-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3615,3/2/2015,12.3615,12.3615,0.63%,1.53937E-08,0.000124071,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3794,12.3794,12.3794,3-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3794,3/3/2015,12.3794,12.3794,0.14%,8.13356E-10,2.85194E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.389,12.389,12.389,4-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.389,3/4/2015,12.389,12.389,0.08%,2.33361E-10,1.52762E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3985,12.3985,12.3985,5-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3985,3/5/2015,12.3985,12.3985,0.08%,2.28259E-10,1.51083E-05,,,
